name,domain,composite,tier,city_state,nearest_primo_site,nearest_mi
Multicell North Inc.,multicellpkg.com,75.75,A,"Kutztown, PA",US PL Allentown NPL Factory,7
Nikel Precision Group,npg-mfg.com,75.74,A,"Saco, ME",US PL Hollis Factory,12.1
Progressive Logistics Inc,progressivelogistics.com,75.67,A,"Plainfield, IN",US PL Greenwood Indiana,14.9
Regal Beloit Logistics,regalbeloit.com,75.01,A,"Plainfield, IN",US PL Greenwood Indiana,15.5
"Kane Logistics, an ID Logistics company",idlogistics.com,74.6,B,"Allentown, PA",US DC NFI - Breinigsville,3.1
Hood Packaging Corporation,hoodpkg.com,74.52,A,"Tyler, TX",US PL Hawkins Factory,13.8
Carroll Fulmer Logistics Corporation,cfulmer.com,74.27,B,"Whiteland, IN",US PL Greenwood Indiana,3.3
Linder Industrial Machinery,linder.com,74.14,A,"Plant City, FL",US PL Zephyrhills Factory,15.2
Highland Packaging Solutions (A TOPPAN Company),highlandpackaging.com,73.79,A,"Plant City, FL",US PL Zephyrhills Factory,17.4
"States Logistics Services, Inc.",stateslogistics.com,73.78,B,"Ontario, CA",US PL Ontario Factory,3.6
"6G Logistic Solutions LLC - Warehouse, E-Commerce Delivery Solution, Fulfillment Center, Shipping",deliverysolutions.co,73.62,B,"Jurupa Valley, CA",US PL Ontario Factory,3.7
Peer Foods: Greenfield,peerfoods.com,73.51,A,"Greenfield, IN",US PL Greenwood Indiana,16.9
Metropolitan Warehouse &Delivery Corp,metropolitanwarehouse.com,73.46,B,"Eastvale, CA",US PL Ontario Factory,3.8
VF West Coast Distribution Center,wcshipping.com,73.13,B,"Ontario, CA",US PL Ontario Factory,4
Lynch Logistics Inc.,lynchlogistics.com,73.13,B,"Auburn, ME",US PL Poland Spring Factory,4
"WSI (Warehouse Specialists, LLC)",wsinc.com,72.81,B,"Allentown, PA",US DC NFI - Breinigsville,4.2
Cooper Tire Whiteland Distribution Center,coopertire.com,72.66,B,"Whiteland, IN 46184, USA",US PL Greenwood Indiana,4.3
PPG Paints Distribution Center,asianpaintsppg.com,72.1,A,"Reading, PA",US PL Allentown NPL Factory,19.1
Hilti Distribution Center - Denver,hilti.com,72.02,B,"Denver, CO",US PL Denver Factory,4.7
Southwark Metal Manufacturing Co,southwarkmetal.com,71.77,A,"McCordsville, IN",US PL Greenwood Indiana,21.6
Land O' Lakes- Purina Distribution Center,landolakes.com,70.96,A,"Lakeland, FL",US PL Zephyrhills Factory,20.3
USPS North Houston TX Distribution Center,usps.com,70.59,A,"North Houston, TX",US PL S Houston Factory,18.6
Roadtex Transportation,roadtex.com,70.53,A,"Greenfield, IN",US PL Greenwood Indiana,19.9
Empire Container Freight Station - Export,empirecfs.com,59.66,A,"Compton, CA",US PL Ontario Factory,37.3
Pegasus Foods Inc,pegasusfoods.com,56.83,A,"Rockwall, TX",US PL Dallas 2 Factory,33.8
Bartush Schnitzius Foods Company,bartushfoods.com,56.35,A,"Lewisville, TX",US PL Dallas 2 Factory,25.7
"Tyson Processing Plant Monroe, N.C.",tyson.com,54.65,A,"Monroe, NC",US PL McBee Factory,37.7
Cheney Brothers Florence,cheneybrothers.com,53.38,A,"Florence, SC",US PL McBee Factory,34.9
Praxis Packaging,praxispackaging.com,51.17,A,"Grand Rapids, MI",US PL Mecosta Factory,57.2
Kaiser Logistics Inc,kaiserlogistics.com,49.57,B,"Milton, WI",US PL Madison Factory,27.8
Jaxport Refrigerated Services,jaxport.com,49.41,A,"Jacksonville, FL",US PL High Springs Factory,68.5
Perrigo ACDC Warehouse,perrigo.com,41.21,B,"Holland, MI 49423, USA",US PL Mecosta Factory,71.9
Raybestos Powertrain - Manufacturing Plant,raybestospowertrain.com,39.95,A,"Crawfordsville, IN",US PL Greenwood Indiana,51.3
"Aberdeen Coca-Cola Bottling Co., Inc.",cocacolaunited.com,39.18,A,"Aberdeen, NC",US PL McBee Factory,65.6
Marino\WARE Manufacturing Facility and Headquarters,marinoware.com,36.67,B,"South Plainfield, NJ",US DC NFI - Breinigsville,64.2
The Campbell Soup Company,snyderslance.com,36.25,A,"Maxton, NC",US PL McBee Factory,56.9
Berner Food & Beverage Distribution Center,bernerfoods.com,34.6,A,"Rockford, IL",US PL Madison Factory,63.6
Pioneer Cold Logistic Services,pioneercold.com,33.11,A,"Chicopee, MA",US PL Saratoga Spring Factory,88.2
Anchor Bay Packaging Corporation,anchorbaypkg.com,28.41,B,"New Baltimore, MI",US PL Mecosta Factory,134.9
