prospect_name,domain,composite,tier,confidence,segment,sites,city_state,nearest_primo_site,nearest_mi,already_in_hubspot,notes
ICDC(check in at Pepsi Warehouse Guard),,81.5,A,high,shipper,1,"Indianapolis, IN",US PL Greenwood Indiana,12.3,,
Shamrock Foodservice Warehouse,,81.37,A,high,shipper,1,"Aurora, CO",US PL Denver Factory,8.4,,
"Rios Packaging Corporation, LLC",,81.09,A,medium,shipper,1,"Dallas, TX",US PL Dallas 2 Factory,8.6,,
EXQUISITE LOGISTICS MOVING,,79.63,B,medium,3pl,1,"Denver, CO",US PL Denver Factory,0.2,,
Fort Worth Distribution Center for tractor supply,,79.47,A,high,shipper,1,"Grand Prairie, TX",US PL Dallas 2 Factory,9.2,,
Chipman Relocation & Logistics,,79.45,B,medium,3pl,1,"Sacramento, CA",US PL Sacramento Factory,0.3,,
Fast Rite Fulfillment,,79.45,B,medium,3pl,1,"Ontario, CA",US PL Ontario Factory,0.3,,
"Gladstone Fulfillment, Inc",,79.27,B,medium,3pl,1,"Ontario, CA",US PL Ontario Factory,0.4,,
"WorldWide Electric, Ontario CA Warehouse",,79.09,B,medium,shipper,1,"Ontario, CA",US PL Ontario Factory,0.5,,
Mountain Creek Distribution Phase 1,,78.91,B,medium,shipper,1,"Dallas, TX",US PL Dallas 2 Factory,0.6,,
Hydra Warehouse Sacramento,,78.91,B,medium,shipper,1,"Sacramento, CA",US PL Sacramento Factory,0.6,,
NFI/Eaton - Dallas Distribution Center,,78.58,A,high,3pl,1,"Dallas, TX",US PL Dallas 2 Factory,12.4,,
Ross warehouse,,78.55,B,medium,shipper,5,"Sacramento, CA",US PL Sacramento Factory,0.8,,
TUTS Reed Rd Warehouse Unit D,,78.55,B,medium,shipper,1,"Houston, TX 77051, USA",US PL S Houston Factory,0.8,,
Wisconsin Kenworth - Madison,,78.41,A,medium,shipper,1,"Windsor, WI",US PL Madison Factory,10,,
Congdon Hill Warehouse/Samuel Adam's,,78.37,B,medium,shipper,1,"Alburtis, PA",US PL Allentown NPL Factory,0.9,,
Metropolitan Warehouse,,78.37,B,medium,shipper,3,"Ontario, CA",US PL Ontario Factory,0.9,,
Wholesale Wheel Warehouse,,78.2,B,medium,shipper,1,"Ontario, CA",US PL Ontario Factory,1,,
La Nova Tile Warehouse,,78.02,B,medium,shipper,1,"Houston, TX",US PL S Houston Factory,1.1,,
CREAM LOGISTICS LLC,,78.02,B,medium,3pl,1,"Houston, TX",US PL Pasadena Factory,1.1,,
Houston Methodist Distribution Center,,77.84,B,medium,shipper,1,"Houston, TX",US PL S Houston Factory,1.2,,
Rapid Fulfillment Center Inc,,77.49,B,medium,3pl,1,"Ontario, CA",US PL Ontario Factory,1.4,,
Daltex Logistics Services,,77.32,B,medium,3pl,1,"Dallas, TX",US PL Dallas 2 Factory,1.5,,
Volk Packaging Corporation,,77.04,A,medium,shipper,1,"Biddeford, ME",US PL Hollis Factory,11.7,,
Fraser Crossdock and Warehouse,,76.97,B,medium,shipper,1,"Houston, TX",US PL S Houston Factory,1.7,,
"Orca Logistics, Llc",,76.97,B,medium,3pl,1,"Denver, CO",US PL Denver Factory,1.7,,
Premier Logistics,,76.97,B,medium,3pl,3,"Ontario, CA",US PL Ontario Factory,1.7,,
Aker BioMarine Manufacturing,,76.81,A,high,shipper,1,"Houston, TX",US PL S Houston Factory,14.6,,
Jacobson Warehouse Co,,76.69,A,high,shipper,2,"Plainfield, IN",US PL Greenwood Indiana,14,,
Ryder Integrated Logistics,,76.63,A,high,carrier,2,"Plainfield, IN",US PL Greenwood Indiana,16.6,,
Ozburn-Hessey Logistics,,76.58,A,high,3pl,1,"Plainfield, IN",US PL Greenwood Indiana,14.1,,
Houston Livestock & Rodeo Warehouse,,76.45,B,medium,shipper,1,"Houston, TX",US PL S Houston Factory,2,,
Cardenas Market Distribution Center,,76.28,B,medium,shipper,1,"Ontario, CA",US PL Ontario Factory,2.1,,
Central Storage & Warehouse LLC,,76.28,B,medium,shipper,1,"Madison, WI",US PL Madison Factory,2.1,,
Brisk Transportation & Cold Storage Inc.,,76.28,B,medium,shipper,1,"Ontario, CA",US PL Ontario Factory,2.1,,
Final Mile Cold Storage,,76.28,B,medium,shipper,1,"Ontario, CA",US PL Ontario Factory,2.1,,
World Relief warehouse,,76.28,B,medium,shipper,1,"Sacramento, CA",US PL Sacramento Factory,2.1,,
Corrugated Concepts & Packaging,,76.25,A,medium,shipper,1,"Houston, TX",US PL S Houston Factory,15.1,,
Double A Logistics,,76.19,A,high,3pl,1,"Citrus Heights, CA",US PL Sacramento Factory,13.4,,
BDA Midwest Fulfillment Center,,76.12,A,high,3pl,1,"Plainfield, IN",US PL Greenwood Indiana,14.5,,
Nexen Tire Distribution Center,,75.94,B,medium,shipper,1,"Ontario, CA",US PL Ontario Factory,2.3,,
ELITEFULFILLMENT WAREHOUSE,,75.94,B,medium,shipper,1,"Sacramento, CA",US PL Sacramento Factory,2.3,,
NicePak Customer Fulfillment Center,,75.89,A,high,3pl,1,"Plainfield, IN",US PL Greenwood Indiana,14.7,,
Hanzo Logistics,,75.89,A,high,3pl,1,"Plainfield, IN",US PL Greenwood Indiana,14.7,,
Blu LNG,,75.89,A,medium,shipper,1,"Plainfield, IN",US PL Greenwood Indiana,14.7,,
Keep It Moving Logistics,,75.77,B,medium,3pl,1,"Denver, CO",US PL Denver Factory,2.4,,
Brothers Transportation & Warehouse Inc,,75.77,B,medium,shipper,1,"Eastvale, CA",US PL Ontario Factory,2.4,,
Multicell North Inc.,,75.75,A,medium,shipper,1,"Kutztown, PA",US PL Allentown NPL Factory,7,,
Nikel Precision Group,,75.74,A,medium,shipper,1,"Saco, ME",US PL Hollis Factory,12.1,,
Progressive Logistics Inc,,75.67,A,high,3pl,3,"Plainfield, IN",US PL Greenwood Indiana,14.9,,
Trans America Logistics Corporation,,75.6,B,medium,3pl,1,"Sacramento, CA",US PL Sacramento Factory,2.5,,
Jillamy Packaging and Warehouse,,75.6,B,medium,shipper,3,"Sacramento, CA",US PL Sacramento Factory,2.5,,
"CRC Indiana, LLC",,75.56,A,medium,shipper,1,"Plainfield, IN",US PL Greenwood Indiana,15,,
An Si Fulfillment LLC,,75.43,B,medium,3pl,1,"Ontario, CA",US PL Ontario Factory,2.6,,
Warehouse Hotline LLC,,75.27,B,medium,shipper,1,"Denver, CO",US PL Denver Factory,2.7,,
IronLink Logistics - Port of Los Angeles 3PL,,75.27,B,medium,3pl,2,"Ontario, CA",US PL Ontario Factory,2.7,,
Distribution Center For Rubin's Furniture,,75.27,B,medium,shipper,1,"Madison, WI",US PL Madison Factory,2.7,,
Bring Fulfillment,,75.27,B,medium,3pl,1,"Denver, CO",US PL Denver Factory,2.7,,
"SBR Express Inc- 3PL, Fulfillment, and Trucking",,75.1,B,medium,carrier,1,"Ontario, CA",US PL Ontario Factory,2.8,,
Cooking Warehouse,,75.1,B,medium,shipper,1,"Ontario, CA",US PL Ontario Factory,2.8,,
Kutztown Bottling Works,,75.03,A,high,shipper,1,"Kutztown, PA",US PL Allentown NPL Factory,7.5,,
Regal Beloit Logistics,,75.01,A,high,3pl,1,"Plainfield, IN",US PL Greenwood Indiana,15.5,,
D & S Logistics,,74.93,B,medium,3pl,1,"Sacramento, CA",US PL Sacramento Factory,2.9,,
Kohl's Distribution Center,,74.9,A,high,shipper,2,"Plainfield, IN",US PL Greenwood Indiana,15.6,,
FMG Denver Warehouse,,74.77,B,medium,shipper,1,"Denver, CO",US PL Denver Factory,3,,
Kiefer Storage & Warehouse,,74.77,B,medium,shipper,1,"Sacramento, CA",US PL Sacramento Factory,3,,
Brothers Main Appliance Distribution Center,,74.77,B,medium,shipper,1,"Madison, WI",US PL Madison Factory,3,,
Mounds Pet Food Warehouse,,74.74,B,medium,shipper,2,"Madison, WI",US PL Madison Factory,4.5,,
Damascus Warehouse (SONOCO),,74.64,A,high,shipper,1,"Hartsville, SC",US PL McBee Factory,13.7,,
"Kane Logistics, an ID Logistics company",,74.6,B,medium,3pl,2,"Allentown, PA",US DC NFI - Breinigsville,3.1,,
Hood Packaging Corporation,,74.52,A,medium,shipper,1,"Tyler, TX",US PL Hawkins Factory,13.8,,
NAMIC® Medline,,74.49,A,medium,shipper,1,"Glens Falls, NY",US PL Saratoga Spring Factory,18.7,,
Groomer’s Warehouse,,74.44,B,medium,shipper,1,"Houston, TX",US PL S Houston Factory,3.2,,
NEPW Logistics - Mechanic Falls,,74.44,B,medium,3pl,6,"Mechanic Falls, ME",US PL Poland Spring Factory,3.2,,
Warehouse Republic,,74.27,B,medium,shipper,1,"Ontario, CA",US PL Ontario Factory,3.3,,
"Wolf Warehousing & Logistics, LLC.",,74.27,B,medium,3pl,1,"Rancho Cucamonga, CA",US PL Ontario Factory,3.3,,
Carroll Fulmer Logistics Corporation,,74.27,B,medium,3pl,1,"Whiteland, IN",US PL Greenwood Indiana,3.3,,
Linder Industrial Machinery,,74.14,A,medium,shipper,1,"Plant City, FL",US PL Zephyrhills Factory,15.2,,
Macy's Logistics- Warehouse,,74.11,B,medium,3pl,2,"Denver, CO",US PL Denver Factory,3.4,,
Salina Nation Logistics LLC,,74.11,B,medium,3pl,1,"Houston, TX",US PL S Houston Factory,3.4,,
CCISD Central Warehouse,,74.11,B,medium,shipper,1,"Webster, TX",US PL Pasadena Factory,3.4,,
Highland Packaging Solutions (A TOPPAN Company),,73.79,A,medium,shipper,1,"Plant City, FL",US PL Zephyrhills Factory,17.4,,
"States Logistics Services, Inc.",,73.78,B,medium,3pl,4,"Ontario, CA",US PL Ontario Factory,3.6,,
American Mini Warehouses LLC,,73.78,B,medium,shipper,1,"Madison, WI",US PL Madison Factory,3.6,,
Linic Freight - 3PL Logistics & Warehouse | Rancho Cucamonga,,73.62,B,medium,3pl,1,"Rancho Cucamonga, CA",US PL Ontario Factory,3.7,,
"6G Logistic Solutions LLC - Warehouse, E-Commerce Delivery Solution, Fulfillment Center, Shipping",,73.62,B,medium,3pl,2,"Jurupa Valley, CA",US PL Ontario Factory,3.7,,
Pierce Logistics LLC,,73.62,B,medium,3pl,1,"Houston, TX",US PL S Houston Factory,3.7,,
Peer Foods: Greenfield,,73.51,A,medium,shipper,1,"Greenfield, IN",US PL Greenwood Indiana,16.9,,
Metropolitan Warehouse &Delivery Corp,,73.46,B,medium,shipper,1,"Eastvale, CA",US PL Ontario Factory,3.8,,
Business Park Landing Warehouses,,73.46,B,medium,shipper,1,"Houston, TX",US PL S Houston Factory,3.8,,
Rancho Warehouse,,73.46,B,medium,shipper,2,"Rancho Cucamonga, CA",US PL Ontario Factory,3.8,,
Warehouse Redbird,,73.46,B,medium,shipper,1,"Dallas, TX",US PL Dallas 2 Factory,3.8,,
TPrime Logistics,,73.46,B,medium,3pl,1,"Chino, CA",US PL Ontario Factory,3.8,,
LVK Fulfillment Center,,73.3,B,medium,3pl,3,"Allentown, PA",US DC NFI - Breinigsville,3.9,,
UPS Fulfillment Hub,,73.3,B,medium,3pl,1,"Sacramento, CA",US PL Sacramento Factory,3.9,,
Hannaford Product Recovery,,73.29,A,medium,shipper,1,"South Portland, ME",US PL Hollis Factory,17.9,,
Vanask Warehouse Co,,73.13,B,medium,shipper,1,"Denver, CO",US PL Denver Factory,4,,
Jp fulfillment logistic,,73.13,B,medium,3pl,1,"Dallas, TX",US PL Dallas 2 Factory,4,,
VF West Coast Distribution Center,,73.13,B,medium,shipper,1,"Ontario, CA",US PL Ontario Factory,4,,
Sacramento Sheriff Property Warehouse,,73.13,B,medium,shipper,1,"Sacramento, CA",US PL Sacramento Factory,4,,
Warehouse Worker Resource Center,,73.13,B,medium,shipper,1,"Ontario, CA",US PL Ontario Factory,4,,
Lynch Logistics Inc.,,73.13,B,medium,3pl,2,"Auburn, ME",US PL Poland Spring Factory,4,,
Hannaford Distribution Center,,73.08,A,high,shipper,3,"South Portland, ME",US PL Hollis Factory,18.1,,
GDUB Transport & Logistics LLC,,72.97,B,medium,carrier,1,"Kemah, TX",US PL Pasadena Factory,4.1,,
Ferrara Candy Company Distribution Center,,72.81,B,medium,shipper,2,"Grand Prairie, TX",US PL Dallas 2 Factory,4.2,,
"WSI (Warehouse Specialists, LLC)",,72.81,B,medium,shipper,6,"Allentown, PA",US DC NFI - Breinigsville,4.2,,
ESR Fulfillment & Storage,,72.81,B,medium,3pl,1,"Houston, TX",US PL S Houston Factory,4.2,,
Ryder/Whiplash E-commerce fulfillment node,,72.77,A,high,carrier,1,"Riverside, CA",US PL Ontario Factory,20.5,,
Cooper Tire Whiteland Distribution Center,,72.66,B,medium,shipper,1,"Whiteland, IN 46184, USA",US PL Greenwood Indiana,4.3,,
Ultimate Logistics Inc,,72.66,B,medium,3pl,1,"Fontana, CA",US PL Ontario Factory,4.3,,
Colorado Fulfillment,,72.5,B,medium,3pl,1,"Denver, CO",US PL Denver Factory,4.4,,
Economy Transportation & Logistics,,72.5,B,medium,3pl,1,"Houston, TX",US PL S Houston Factory,4.4,,
Worldcraft Logistics LLC (PLM1),,72.34,B,medium,3pl,1,"Ontario, CA",US PL Ontario Factory,4.5,,
arc Thrift Stores Warehouse,,72.34,B,medium,shipper,1,"Denver, CO",US PL Denver Factory,4.5,,
Bosone's Warehouse & Storage,,72.34,B,medium,shipper,1,"Seabrook, TX",US PL Pasadena Factory,4.5,,
States Logistics #548 Marlay,,72.18,B,medium,3pl,1,"Fontana, CA",US PL Ontario Factory,4.6,,
TPFS 3PL & Fulfillment Warehouse,,72.18,B,medium,3pl,1,"Rancho Cucamonga, CA",US PL Ontario Factory,4.6,,
East End Transfer Warehouse,,72.18,B,medium,shipper,1,"Houston, TX",US PL S Houston Factory,4.6,,
PPG Paints Distribution Center,,72.1,A,high,shipper,1,"Reading, PA",US PL Allentown NPL Factory,19.1,,
Hilti Distribution Center - Denver,,72.02,B,medium,shipper,1,"Denver, CO",US PL Denver Factory,4.7,,
TCC MacArthur Distribution Center,,71.87,B,medium,shipper,1,"Grand Prairie, TX",US PL Dallas 2 Factory,4.8,,
SB Cross Dock Warehouse,,71.87,B,medium,shipper,1,"Fontana, CA",US PL Ontario Factory,4.8,,
CAC Foodbank Dane County Warehouse,,71.87,B,medium,shipper,1,"Madison, WI",US PL Madison Factory,4.8,,
Quest Warehouse,,71.79,A,high,shipper,1,"Greenfield, IN",US PL Greenwood Indiana,18.6,,
Roadtex shopping office,,71.79,A,medium,shipper,1,"Greenfield, IN",US PL Greenwood Indiana,18.6,,
Southwark Metal Manufacturing Co,,71.77,A,high,shipper,1,"McCordsville, IN",US PL Greenwood Indiana,21.6,,
Living Spaces Distribution Center,,71.71,B,medium,shipper,2,"Grand Prairie, TX",US PL Dallas 2 Factory,4.9,,
The Warehouse Rack,,71.71,B,medium,shipper,1,"Rancho Cucamonga, CA",US PL Ontario Factory,4.9,,
Behr Process Distribution,,71.56,B,medium,shipper,1,"Fogelsville, PA",US PL Allentown Factory,5,,
Dr Pepper / MOTTS warehouse,,71.56,B,medium,shipper,1,"Dallas, TX",US PL Dallas 2 Factory,5,,
Hoosier freight and warehouse,,71.49,A,high,shipper,1,"Greenfield, IN",US PL Greenwood Indiana,18.9,,
CVS Distribution Center of Greenfield IN,,71.4,A,high,shipper,1,"Greenfield, IN",US PL Greenwood Indiana,19,,
Land O' Lakes- Purina Distribution Center,,70.96,A,high,shipper,1,"Lakeland, FL",US PL Zephyrhills Factory,20.3,,
TFG TRUCK PARKING,,70.91,A,medium,shipper,1,"Greenfield, IN",US PL Greenwood Indiana,19.5,,
USPS North Houston TX Distribution Center,,70.59,A,high,shipper,1,"North Houston, TX",US PL S Houston Factory,18.6,,
Roadtex Transportation,,70.53,A,medium,shipper,1,"Greenfield, IN",US PL Greenwood Indiana,19.9,,
Arne's Warehouse,,70.38,B,medium,shipper,1,"Houston, TX",US PL S Houston Factory,7.4,,
Bulk Book Warehouse,,70.13,A,high,shipper,1,"Schenectady, NY",US PL Saratoga Spring Factory,21.2,,
PL Cold Inc.,,70.06,A,medium,shipper,1,"Greenfield, IN",US PL Greenwood Indiana,20.4,,
Conagra,,69.95,A,medium,shipper,1,"Indianapolis, IN",US PL Greenwood Indiana,21.4,,
Southwest bottling Coca-Cola,,68.59,A,high,shipper,1,"Houston, TX",US PL S Houston Factory,25.4,,
Best Carrier Tampa Warehouse & Transload,,67.63,A,high,shipper,1,"Lakeland, FL",US PL Zephyrhills Factory,24.1,,
"Warehouse Wine, Liquor & Cigars",,66.46,A,high,shipper,1,"Lutz, FL",US PL Zephyrhills Factory,14.2,,
Vesana Logistics LLC,,66.01,A,high,3pl,1,"Lutz, FL",US PL Zephyrhills Factory,14.6,,
R & L Carriers Inc,,64.69,A,medium,shipper,1,"Dade City, FL",US PL Zephyrhills Factory,14.7,,
Downey Coca-Cola Vending,,64.25,A,medium,shipper,1,"Downey, CA",US PL Ontario Factory,31.5,,
Tom Thumb/Randalls/Albertsons Distribution Center,,63.59,A,high,shipper,1,"Roanoke, TX",US PL Dallas 2 Factory,26.7,,
"Nfinity Courier And Logistics, Inc",,61.38,A,high,3pl,1,"Bryant, AR",US PL Hot Springs 2 Factory,31.6,,
Empire Container Freight Station - Export,,59.66,A,medium,shipper,2,"Compton, CA",US PL Ontario Factory,37.3,,
Bell Container International Paper,,59.55,A,medium,shipper,1,"Los Angeles, CA",US PL Ontario Factory,32.6,,
Warehouse Coffee Co.,,58.82,A,high,shipper,1,"Spring Hill, FL",US PL Zephyrhills Factory,25.1,,
Pegasus Foods Inc,,56.83,A,medium,shipper,1,"Rockwall, TX",US PL Dallas 2 Factory,33.8,,
Bartush Schnitzius Foods Company,,56.35,A,medium,shipper,1,"Lewisville, TX",US PL Dallas 2 Factory,25.7,,
"Tyson Processing Plant Monroe, N.C.",,54.65,A,high,shipper,1,"Monroe, NC",US PL McBee Factory,37.7,,
"Stingray Logistics, Inc",,54.63,B,high,3pl,1,"Lutz, FL",US PL Zephyrhills Factory,19.8,,
Great Lakes Coca-Cola,,54.06,A,medium,shipper,1,"Caledonia, MI",US PL Mecosta Factory,54.1,,
Cheney Brothers Florence,,53.38,A,medium,shipper,1,"Florence, SC",US PL McBee Factory,34.9,,
LKQ Refinish Distribution Center,,53.15,A,high,shipper,1,"Kentwood, MI",US PL Mecosta Factory,50.7,,
CVS Health Distribution Center,,52.36,A,high,shipper,1,"Ennis, TX",US PL Dallas 2 Factory,34.6,,
Clay Distribution Center: Gordon Food Service,,52.09,A,high,shipper,1,"Grand Rapids, MI",US PL Mecosta Factory,54,,
Micronics Filter Press Manufacturing Facility,,51.78,B,high,shipper,1,"Dover, NH",US PL Hollis Factory,29.2,,
Praxis Packaging,,51.17,A,medium,shipper,1,"Grand Rapids, MI",US PL Mecosta Factory,57.2,,
Infinity Industrial Controls,,50.94,A,medium,shipper,1,"Clearwater, FL",US PL Zephyrhills Factory,39.5,,
CCBCC Coca Cola,,50.91,A,medium,shipper,1,"Blythewood, SC",US PL McBee Factory,45.9,,
Kaiser Logistics Inc,,49.57,B,high,3pl,1,"Milton, WI",US PL Madison Factory,27.8,,
Jaxport Refrigerated Services,,49.41,A,medium,shipper,1,"Jacksonville, FL",US PL High Springs Factory,68.5,,
Chambers Warehouse,,49.26,A,high,shipper,1,"Charlotte, NC",US PL McBee Factory,65.2,,
Schreiber,,48.77,A,medium,shipper,1,"Grand Rapids, MI",US PL Mecosta Factory,54.4,,
The Hannaford Center Hampden Distribution Center,,48.76,A,high,shipper,1,"Hampden, ME",US PL Kingfield Factory,67.7,,
XPO Logistics Columbia,,48.33,A,high,carrier,1,"Columbia, SC",US PL McBee Factory,49.6,,
JAXPORT Blount Island Marine Terminal,,48.3,A,high,shipper,1,"Jacksonville, FL",US PL High Springs Factory,75.1,,
Freight+ Multi-Carrier Shipping Software,,48.13,A,medium,shipper,1,"Wildomar, CA",US PL Ontario Factory,35,,
Newaygo Co Dhs - Food Distribution Center,,48.07,A,high,shipper,1,"White Cloud, MI",US PL Mecosta Factory,28.5,,
Dow Chemical Co,,48.06,A,medium,shipper,1,"Charlotte, NC",US PL McBee Factory,61.6,,
JacksonFill Contract Manufacturing,,47.24,A,high,shipper,1,"Jacksonville, FL",US PL High Springs Factory,71.7,,
TJ Maxx Distribution Center,,46.77,A,high,shipper,1,"Charlotte, NC",US PL McBee Factory,58.7,,
Infinity Bottling,,45.57,A,high,shipper,1,"American Canyon, CA",US PL Sacramento Factory,53.1,,
ChargeUP 34,,44.04,A,medium,shipper,1,"Winfield, TX",US PL Hawkins Factory,41.4,,
Western Logistics Inc - Specialized Furniture Carrier,,43.26,A,high,3pl,1,"Zeeland, MI",US PL Mecosta Factory,65.2,,
"P & B Cold Storage, Georgia",,42.82,A,high,shipper,1,"Valdosta, GA",US PL High Springs Factory,80,,
DHL Bow Distribution Center (Formerly EXEL),,42.43,A,high,shipper,1,"Bow, NH",US PL Hollis Factory,52.9,,
Lufkin Coca-Cola,,41.82,A,medium,shipper,1,"Lufkin, TX",US PL Hawkins Factory,89.1,,
Pourter,,41.32,A,medium,shipper,1,"Grand Rapids, MI",US PL Mecosta Factory,40.8,,
Perrigo ACDC Warehouse,,41.21,B,high,shipper,1,"Holland, MI 49423, USA",US PL Mecosta Factory,71.9,,
"Universe Carrier Warehouse - Cross-docking, Fulfilment, Kitting, Delivery",,40.9,A,high,shipper,1,"Huntley, IL",US PL Madison Factory,79.4,,
Raybestos Powertrain - Manufacturing Plant,,39.95,A,high,shipper,2,"Crawfordsville, IN",US PL Greenwood Indiana,51.3,,
Crossdock in Elk Grove Village,,39.73,A,medium,shipper,1,"Elk Grove Village, IL",US PL Madison Factory,100.5,,
A-1 Creative Packaging Corporation Plant-4,,39.3,A,high,shipper,1,"Palmyra, WI",US PL Madison Factory,40,,
"Aberdeen Coca-Cola Bottling Co., Inc.",,39.18,A,high,shipper,1,"Aberdeen, NC",US PL McBee Factory,65.6,,
Nacogdoches Coca-Cola,,38.06,A,medium,shipper,1,"Nacogdoches, TX",US PL Hawkins Factory,71.6,,
Orangeburg Coca-Cola Bottling Co.,,37.97,A,high,shipper,1,"Orangeburg, SC",US PL McBee Factory,72.1,,
Marino\WARE Manufacturing Facility and Headquarters,,36.67,B,high,shipper,1,"South Plainfield, NJ",US DC NFI - Breinigsville,64.2,,
The Campbell Soup Company,,36.25,A,medium,shipper,1,"Maxton, NC",US PL McBee Factory,56.9,,
Ryder Truck Terminal,,35.8,A,high,carrier,1,"Terre Haute, IN",US PL Greenwood Indiana,67.5,,
Kwik-Kut Manufacturing Co,,34.99,A,high,shipper,1,"Mohawk, NY",US PL Saratoga Spring Factory,61.9,,
Berner Food & Beverage Distribution Center,,34.6,A,high,shipper,1,"Rockford, IL",US PL Madison Factory,63.6,,
Meridian Foods,,34.13,A,medium,shipper,1,"Eaton, IN",US PL Greenwood Indiana,65.8,,
Knob Creek Bottling Plant,,34.08,A,high,shipper,1,"Shepherdsville, KY",US PL Greenwood Indiana,117.8,,
Tifton Coca-Cola Bottling Company UNITED,,33.96,A,high,shipper,1,"Tifton, GA",US PL High Springs Factory,121.6,,
Pioneer Cold Logistic Services,,33.11,A,medium,shipper,1,"Chicopee, MA",US PL Saratoga Spring Factory,88.2,,
Western Massachusetts Food Processing Center,,32.94,B,high,shipper,1,"Greenfield, MA",US PL Saratoga Spring Factory,67.8,,
Transport Arthur Cuming Inc,,32.03,A,medium,carrier,1,"Cookshire-Eaton, QC",US PL Kingfield Factory,78.4,,
Durham Coca-Cola Bottling Co,,31.19,A,high,shipper,1,"Apex, NC",US PL McBee Factory,115.1,,
