Name,Address,Lat,Lng,PlaceId,ICP Score,Tier,Vertical Match,Enterprise Scale,Network Complexity,Primo Proximity,Corridor Density,Place Type Bonus,Is Existing Account,Existing Account Slug,Nearest Primo Site,Primo Distance (mi),Corridor,Discovered Via,Excluded,Exclude Reason
Ball Corporation — Ball Corporation HQ,"Broomfield, CO",39.939,-105.053,seed-ball.com-39.939--105.053,70,A,20,25,20,5,0,0,false,,US PL Denver Factory,14.2,Broomfield,[object Object],false,
SpartanNash — SpartanNash Grand Rapids DC,"Grand Rapids, MI",42.9634,-85.6681,seed-spartannash.com-42.9634--85.6681,70,A,25,22,15,3,0,5,false,,US PL Mecosta Factory,48.5,Grand Rapids,[object Object],false,
Wawa — Wawa FL Distribution Hub,"Orlando, FL",28.48,-81.45,seed-wawa.com-28.48--81.45,68,B,20,25,15,3,0,5,false,,US PL Zephyrhills Factory,47.3,Orlando,[object Object],false,
Denver Beer Co / Breckenridge Brewery (Tilray) — Breckenridge Brewery Littleton,"Littleton, CO",39.554,-105.017,seed-tilray.com-39.554--105.017,68,B,25,18,15,5,0,5,false,,US PL Denver Factory,12.9,Centennial,[object Object],false,
Nucor Corporation — Nucor Darlington SC Mill,"Darlington, SC",34.31,-79.86,seed-nucor.com-34.31--79.86,68,B,20,25,20,3,0,0,false,,US PL McBee Factory,25.3,Darlington,[object Object],false,
Stewart's Shops — Stewart's Shops Saratoga Springs HQ & Dairy,"Saratoga Springs, NY",43.084,-73.7846,seed-stewartsshops.com-43.084--73.7846,68,B,25,18,10,10,0,5,false,,US PL Saratoga Spring Factory,0.9,Saratoga Springs,[object Object],false,
Tropicana Brands (now part of PAI Partners) — Tropicana Bradenton Plant,"Bradenton, FL",27.496,-82.546,seed-tropicana.com-27.496--82.546,67,B,25,22,15,0,0,5,false,,US PL Zephyrhills Factory,56.4,Bradenton,[object Object],false,
Kohler Co. — Kohler HQ & Manufacturing Complex,"Kohler, WI",43.7394,-87.7817,seed-kohler.com-43.7394--87.7817,67,B,20,22,25,0,0,0,false,,US PL Madison Factory,90.8,Kohler,[object Object],false,
Texas Instruments — TI Dallas Fab,"Dallas, TX",32.91,-96.75,seed-ti.com-32.91--96.75,65,B,20,25,15,5,0,0,false,,US PL Dallas 2 Factory,18.8,Grand Prairie,[object Object],false,
Rolls-Royce North America — Rolls-Royce Indianapolis,"Indianapolis, IN",39.735,-86.249,seed-rolls-royce.com-39.735--86.249,65,B,20,25,15,5,0,0,false,,US PL Greenwood Indiana,12,Indianapolis,[object Object],false,
Darden Restaurants — Darden Orlando Distribution,"Orlando, FL",28.5383,-81.3792,seed-darden.com-28.5383--81.3792,65,B,25,25,10,0,0,5,false,,US PL Zephyrhills Factory,52.8,Orlando,[object Object],false,
Ross Stores — Ross Stores Moreno Valley DC,"Moreno Valley, CA",33.917,-117.226,seed-rossstores.com-33.917--117.226,65,B,20,25,10,5,0,5,false,,US PL Ontario Factory,22.6,Riverside,[object Object],false,
Food Lion (Ahold Delhaize) — Food Lion Salisbury NC DC,"Salisbury, NC",35.671,-80.474,seed-foodlion.com-35.671--80.474,65,B,20,25,15,0,0,5,false,,US PL McBee Factory,83.9,Salisbury,[object Object],false,
Lennox International — Lennox HQ & Plant,"Richardson, TX",32.948,-96.705,seed-lennoxinternational.com-32.948--96.705,63,B,20,18,20,5,0,0,false,,US PL Dallas 2 Factory,22.4,Grand Prairie,[object Object],false,
Sealed Air / SEE — Sealed Air Charlotte HQ,"Charlotte, NC",35.2271,-80.8431,seed-sealedair.com-35.2271--80.8431,62,B,20,22,20,0,0,0,false,,US PL McBee Factory,61.9,Charlotte,[object Object],false,
Allegion — Allegion HQ,"Carmel, IN",39.978,-86.13,seed-allegion.com-39.978--86.13,61,B,20,18,20,3,0,0,false,,US PL Greenwood Indiana,26.5,Carmel,[object Object],false,
Natural Grocers — Natural Grocers HQ & DC,"Lakewood, CO",39.707,-105.081,seed-naturalgrocers.com-39.707--105.081,61,B,20,18,10,8,0,5,false,,US PL Denver Factory,5.3,Golden,[object Object],false,
Meijer — Meijer Grand Rapids DC,"Grand Rapids, MI",42.88,-85.65,seed-meijer.com-42.88--85.65,60,B,20,25,10,0,0,5,false,,US PL Mecosta Factory,53.2,Grand Rapids,[object Object],false,
Amway — Amway World HQ & Manufacturing,"Ada, MI",42.9554,-85.4897,seed-amway.com-42.9554--85.4897,60,B,20,22,15,3,0,0,false,,US PL Mecosta Factory,45.4,Grand Rapids,[object Object],false,
GlobalFoundries — GlobalFoundries Fab 8,"Malta, NY",42.987,-73.792,seed-globalfoundries.com-42.987--73.792,60,B,20,22,10,8,0,0,false,,US PL Saratoga Spring Factory,5.8,Saratoga Springs,[object Object],false,
Hannaford (Ahold Delhaize) — Hannaford Schodack NY DC,"Schodack, NY",42.532,-73.705,seed-hannaford.com-42.532--73.705,60,B,20,22,10,3,0,5,true,ford,US PL Saratoga Spring Factory,37.5,Schodack,[object Object],false,
Allison Transmission — Allison Transmission HQ & Plant,"Indianapolis, IN",39.743,-86.176,seed-allisontransmission.com-39.743--86.176,59,B,20,18,15,5,1,0,false,,US PL Greenwood Indiana,10.7,Indianapolis,[object Object],false,
Houston Food Bank — Houston Food Bank Keegan Center,"Houston, TX",29.748,-95.287,seed-houstonfoodbank.org-29.748--95.287,58,D,25,14,5,8,1,5,false,,US PL S Houston Factory,8.2,Houston,[object Object],true,food bank
Florida Crystals — Florida Crystals Okeelanta Mill,"South Bay, FL",26.665,-80.717,seed-floridacrystals.com-26.665--80.717,58,B,25,18,10,0,0,5,false,,US PL Zephyrhills Factory,141.4,South Bay,[object Object],false,
Cheney Brothers — Cheney Brothers Riviera Beach DC,"Riviera Beach, FL",26.787,-80.085,seed-cheneybrothers.com-26.787--80.085,58,B,25,18,10,0,0,5,false,,US PL Zephyrhills Factory,163.3,Riviera Beach,[object Object],false,
Stater Bros. Markets — Stater Bros. San Bernardino DC,"San Bernardino, CA",34.076,-117.289,seed-staterbros.com-34.076--117.289,58,B,20,18,10,5,0,5,false,,US PL Ontario Factory,17.6,Riverside,[object Object],false,
Sargento Foods — Sargento Foods HQ & Plant,"Plymouth, WI",43.7486,-87.9765,seed-sargento.com-43.7486--87.9765,58,B,25,18,10,0,0,5,false,,US PL Madison Factory,83,Kohler,[object Object],false,
Johnsonville Sausage — Johnsonville HQ & Plant,"Sheboygan Falls, WI",43.7311,-87.807,seed-johnsonville.com-43.7311--87.807,58,B,25,18,10,0,0,5,false,,US PL Madison Factory,89.4,Kohler,[object Object],false,
Oshkosh Corporation — Oshkosh Corporation HQ & Plant,"Oshkosh, WI",44.0247,-88.5426,seed-oshkoshcorp.com-44.0247--88.5426,57,B,20,22,15,0,0,0,false,,US PL Madison Factory,77.6,Oshkosh,[object Object],false,
Republic Services — Republic Services Indianapolis Hub,"Indianapolis, IN",39.75,-86.13,seed-republicservices.com-39.75--86.13,56,B,0,25,25,5,1,0,false,,US PL Greenwood Indiana,10.8,Indianapolis,[object Object],false,
Steelcase — Steelcase Grand Rapids HQ & Plant,"Grand Rapids, MI",42.9557,-85.6646,seed-steelcase.com-42.9557--85.6646,56,B,20,18,15,3,0,0,false,,US PL Mecosta Factory,48.9,Grand Rapids,[object Object],false,
Targa Resources — Targa Resources HQ,"Houston, TX",29.755,-95.458,seed-targaresources.com-29.755--95.458,53,B,0,25,20,8,0,0,false,,US PL S Houston Factory,7.6,Houston,[object Object],false,
MillerKnoll (Herman Miller) — MillerKnoll Zeeland HQ & Plant,"Zeeland, MI",42.8125,-86.019,seed-millerknoll.com-42.8125--86.019,53,B,20,18,15,0,0,0,false,,US PL Mecosta Factory,66.9,Zeeland,[object Object],false,
Perrigo Company — Perrigo Allegan MI Plant,"Allegan, MI",42.5292,-85.8553,seed-perrigo.com-42.5292--85.8553,53,B,20,18,15,0,0,0,false,,US PL Mecosta Factory,79.6,Allegan,[object Object],false,
Irving Tissue — Irving Tissue Fort Edward Plant,"Fort Edward, NY",43.267,-73.588,seed-irvingtissue.com-43.267--73.588,53,B,20,18,10,5,0,0,false,,US PL Saratoga Spring Factory,16.8,Fort Edward,[object Object],false,
Insteel Industries — Insteel Mount Airy Plant,"Mount Airy, NC",36.4993,-80.6073,seed-insteel.com-36.4993--80.6073,49,C,20,14,15,0,0,0,false,,US PL McBee Factory,141.6,Mount Airy,[object Object],false,
Core Molding Technologies — Core Molding Matamoros (ships via Houston),"Houston, TX",29.71,-95.3,seed-coremt.com-29.71--95.3,48,C,20,10,10,8,0,0,false,,US PL S Houston Factory,6,Houston,[object Object],false,
Spectrum Brands — Spectrum Brands Riverside DC,"Riverside, CA",33.981,-117.3755,seed-spectrumbrands.com-33.981--117.3755,38,C,0,18,15,5,0,0,false,,US PL Ontario Factory,13,Riverside,[object Object],false,
