,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Caterpillar - Spokane WA Distribution Center (DC-3),"Parts distribution center (~562k-600k sq ft, 24/7 three-shift)",#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,,YES,,,,YES,,YES,Rural,,,,YES,"https://www.google.com/maps/@47.5966,-117.5465,400m/data=!3m1!1e3"
Caterpillar - Waco TX Distribution Center,Parts distribution center (opened 2009),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,,,,YES,,,YES,,YES,Rural,,,,YES,"https://www.google.com/maps/@31.4783,-97.1799,400m/data=!3m1!1e3"
Caterpillar - Clayton OH Distribution Center (DC-2),Parts distribution center (opened 2011),#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,1,1,YES,,,,YES,,,,YES,,Rural,,,,YES,"https://www.google.com/maps/@39.8425,-84.334,400m/data=!3m1!1e3"
Caterpillar - York PA Distribution Center,"Parts distribution center (~1.1M sq ft, opened 1953)",#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,,YES,1,1,,,,,YES,,,YES,,YES,Urban,,,,YES,"https://www.google.com/maps/@39.9812,-76.6857,400m/data=!3m1!1e3"
Caterpillar - Seguin TX Engine Plant,"Manufacturing plant (diesel & gas engine assembly, ~1.7M sq ft)",#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,,YES,1,1,YES,,,,YES,,,,YES,YES,Rural,,YES,,YES,"https://www.google.com/maps/@29.5755,-97.9955,400m/data=!3m1!1e3"
Caterpillar - Victoria TX Hydraulic Excavator Plant,Manufacturing plant (hydraulic / large excavators),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,2,2,YES,,YES,,,,,YES,,,Rural,,YES,,YES,"https://www.google.com/maps/@28.81950,-96.93750,400m/data=!3m1!1e3"
Caterpillar - Athens GA Plant,"Manufacturing plant (BCP - mini hydraulic excavators, small track-type tractors)",#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,2,YES,,YES,,,,,YES,,,Rural,,YES,,YES,"https://www.google.com/maps/@33.94000,-83.51850,400m/data=!3m1!1e3"
Caterpillar - Winston-Salem NC Axle Plant,"Manufacturing plant (axles, ~850k sq ft on 102 acres)",#7,Gate + GS (not BU sens.) + fast lane opp,,,,,,,,,,,YES,YES,,,YES,YES,,,YES,,2,1,YES,,YES,,,,YES,,,,Rural,,,,YES,"https://www.google.com/maps/@36.06030,-80.11800,400m/data=!3m1!1e3"
Caterpillar Global Mining - South Milwaukee WI Plant,"Manufacturing plant (large mining equipment - electric rope shovels, draglines)",#6,Gate + GS (not BU sens.) + campus,,,,,,,,,,,YES,YES,,,YES,,YES,YES,,YES,1,1,,YES,,,,YES,,,,,Urban,,YES,,,"https://www.google.com/maps/@42.91270,-87.86150,400m/data=!3m1!1e3"
Caterpillar - Pontiac IL Plant,Manufacturing plant (fuel injectors / fuel systems),#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,,YES,,,,YES,,,,,Rural,,,,,"https://www.google.com/maps/@40.88670,-88.65180,400m/data=!3m1!1e3"
Caterpillar Work Tools - Wamego KS Plant & Distribution,Manufacturing & distribution facility (machine attachments / work tools),#3,No Gate / No GS,,,,,,,,,,,,,,,,,YES,,,,,,,,YES,,,,,,YES,,Rural,,YES,,YES,"https://www.google.com/maps/@39.20380,-96.29330,400m/data=!3m1!1e3"
Caterpillar - Tejon Ranch (Lebec) CA Parts Distribution Center,"Parts distribution center (~400k sq ft, opened ~2012)",#9,Gate + No GS (remote check-in),,,,,,,,,,,YES,,YES,,YES,YES,,,YES,,1,1,YES,,,YES,,,,YES,,,Rural,,,,YES,"https://www.google.com/maps/@35.00120,-118.94050,400m/data=!3m1!1e3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#3,1,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#4,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#5,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#6,4,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#7,2,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#8,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#9,14,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#10,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,21,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fast Lane Opportunity,11,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rural / connectivity,17,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guarded,6,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not-Guarded,15,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# Shifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,21,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,21,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
